Airline,Flight_Type,Source,Destination,Stops,Journey_Date,Day_of_Week,Month,Departure_Time,Arrival_Time,Duration_Hours,Ticket_Class,Booking_Days_Before,Baggage_Allowance_Kg,Meal_Included,Fuel_Price_Impact,Peak_Season,Flight_Price_INR
Emirates,Domestic,Hyderabad,Delhi,2,2023-01-03,Wednesday,January,Late Night,Night,3,Economy,297,15,Yes,0.8858959582439415,Yes,4798
SpiceJet,International,Mumbai,London,1,2023-01-03,Wednesday,January,Afternoon,Early Morning,8,First Class,196,15,Yes,1.1279284511024048,No,126508
Air India,International,London,Mumbai,2,2023-01-03,Wednesday,January,Early Morning,Early Morning,8,Business,215,30,Yes,0.8936089485837221,Yes,140981
Qatar Airways,Domestic,Delhi,Chennai,1,2023-01-03,Wednesday,January,Night,Evening,2,Economy,251,30,No,0.8301455194001277,No,8126
IndiGo,Domestic,Bangalore,Hyderabad,1,2023-01-03,Wednesday,January,Early Morning,Evening,2,Economy,330,20,Yes,0.8821900704537131,Yes,5247
SpiceJet,International,Kolkata,Mumbai,2,2023-01-03,Wednesday,January,Morning,Morning,3,Economy,62,30,No,0.8715454411215438,Yes,6536
IndiGo,Domestic,Delhi,Mumbai,1,2023-01-03,Wednesday,January,Early Morning,Night,2,First Class,27,15,No,0.9064016619545502,Yes,18388
Lufthansa,Domestic,Delhi,Bangalore,1,2023-01-03,Wednesday,January,Early Morning,Early Morning,2,Economy,276,20,No,1.1394226909338807,Yes,9382
SpiceJet,Domestic,Bangalore,Delhi,0,2023-01-03,Wednesday,January,Night,Evening,3,Business,292,15,Yes,0.9082779704316832,No,13098
Qatar Airways,Domestic,Mumbai,Dubai,2,2023-01-03,Wednesday,January,Evening,Night,3,Economy,241,25,No,0.9360150276685617,Yes,25983
Qatar Airways,Domestic,Dubai,Mumbai,1,2023-01-03,Wednesday,January,Afternoon,Morning,3,First Class,198,30,Yes,1.038372972302918,No,60213
Emirates,Domestic,Chennai,Delhi,1,2023-01-03,Wednesday,January,Night,Morning,2,First Class,330,20,No,0.8128694919618499,No,17616
GoAir,International,Mumbai,Bangalore,1,2023-01-03,Wednesday,January,Morning,Early Morning,2,Economy,314,20,No,1.046060610159665,No,5171
Vistara,Domestic,Kolkata,Hyderabad,0,2023-01-04,Thursday,January,Late Night,Afternoon,2,First Class,169,15,No,1.1435271853462479,No,19204
Emirates,Domestic,Bangalore,Chennai,0,2023-01-04,Thursday,January,Night,Early Morning,1,Business,205,25,No,0.8779415835052554,Yes,9457
SpiceJet,International,Mumbai,New York,1,2023-01-04,Thursday,January,Early Morning,Late Night,17,Business,138,25,Yes,1.1456532497932297,No,176080
Lufthansa,Domestic,Dubai,Bangalore,2,2023-01-04,Thursday,January,Morning,Evening,3,Business,216,30,No,0.981764388697999,No,20530
SpiceJet,Domestic,Chennai,Kolkata,0,2023-01-04,Thursday,January,Late Night,Afternoon,2,Business,95,30,No,0.8522674922024349,No,7306
Qatar Airways,International,Delhi,Mumbai,2,2023-01-04,Thursday,January,Evening,Afternoon,2,Economy,155,20,No,1.0581047661674985,Yes,6247
IndiGo,Domestic,New York,Mumbai,2,2023-01-04,Thursday,January,Afternoon,Early Morning,17,Business,228,20,Yes,1.063975570176803,Yes,204483
SpiceJet,International,Mumbai,Hyderabad,0,2023-01-04,Thursday,January,Morning,Morning,1,Business,300,25,No,0.9248285001738012,Yes,7356
Qatar Airways,International,London,Mumbai,2,2023-01-04,Thursday,January,Morning,Night,8,First Class,242,20,Yes,0.8153891305047034,No,69480
SpiceJet,Domestic,Kolkata,Bangalore,0,2023-01-04,Thursday,January,Evening,Afternoon,3,Economy,85,20,No,0.9044718864089958,No,7837
Qatar Airways,Domestic,Delhi,Dubai,2,2023-01-04,Thursday,January,Early Morning,Morning,4,Business,214,20,Yes,0.8696371543718128,Yes,35484
SpiceJet,International,Kolkata,Delhi,0,2023-01-04,Thursday,January,Early Morning,Early Morning,3,First Class,317,15,Yes,0.9308026231199387,No,8267
Air India,Domestic,Kolkata,Hyderabad,2,2023-01-04,Thursday,January,Morning,Afternoon,2,First Class,49,15,No,1.0049548232045307,Yes,17749
Lufthansa,International,Delhi,London,2,2023-01-04,Thursday,January,Afternoon,Late Night,10,First Class,95,25,Yes,0.8902918755727998,Yes,125892
GoAir,International,Delhi,Kolkata,2,2023-01-05,Friday,January,Morning,Early Morning,3,First Class,260,20,No,0.9480859050428021,Yes,22094
SpiceJet,International,Chennai,Bangalore,0,2023-01-05,Friday,January,Evening,Afternoon,1,Business,48,20,No,0.8308378289842298,No,3391
Emirates,Domestic,Delhi,New York,1,2023-01-05,Friday,January,Night,Late Night,15,Economy,161,15,Yes,0.9509915330225553,No,88100
Lufthansa,Domestic,Kolkata,Bangalore,1,2023-01-05,Friday,January,Late Night,Late Night,2,Economy,165,30,No,0.9802953445695202,Yes,7959
Qatar Airways,Domestic,Chennai,Bangalore,2,2023-01-05,Friday,January,Evening,Morning,0,Economy,201,30,No,0.9207048032355895,No,5183
Emirates,Domestic,Hyderabad,Bangalore,2,2023-01-05,Friday,January,Evening,Late Night,1,First Class,285,20,No,1.190116186726528,No,12222
Air India,International,Bangalore,Delhi,2,2023-01-05,Friday,January,Early Morning,Evening,2,Economy,226,30,No,1.1579436809362853,No,9995
Air India,International,London,Mumbai,1,2023-01-05,Friday,January,Afternoon,Afternoon,9,Business,154,30,Yes,0.9056206305403464,No,74538
Air India,Domestic,London,Mumbai,2,2023-01-05,Friday,January,Afternoon,Night,10,Business,202,25,Yes,0.9585222873872378,Yes,126958
Air India,Domestic,Delhi,Dubai,1,2023-01-05,Friday,January,Morning,Evening,4,Business,295,15,No,0.8313833952768117,Yes,22455
SpiceJet,International,Bangalore,Dubai,0,2023-01-05,Friday,January,Night,Evening,4,Economy,142,25,No,0.947877607457508,No,27460
SpiceJet,Domestic,Dubai,Bangalore,0,2023-01-05,Friday,January,Night,Early Morning,3,Business,62,20,Yes,0.858190519120028,No,24450
Qatar Airways,Domestic,Bangalore,Kolkata,1,2023-01-06,Saturday,January,Early Morning,Morning,3,First Class,255,20,No,1.017833163205685,No,15023
SpiceJet,International,Bangalore,Hyderabad,0,2023-01-06,Saturday,January,Afternoon,Morning,1,Economy,88,30,No,0.9807373466407265,No,4316
IndiGo,International,Mumbai,Hyderabad,2,2023-01-06,Saturday,January,Night,Night,1,Business,228,25,No,1.14331730271378,No,7429
Lufthansa,International,Kolkata,Delhi,2,2023-01-06,Saturday,January,Night,Afternoon,3,Economy,173,30,Yes,1.0363611747175072,Yes,6396
IndiGo,International,Hyderabad,Bangalore,1,2023-01-06,Saturday,January,Early Morning,Afternoon,1,Economy,320,25,No,0.9113955425217032,Yes,4355
SpiceJet,Domestic,Delhi,Kolkata,0,2023-01-06,Saturday,January,Morning,Evening,3,First Class,37,25,Yes,0.8741661998971679,Yes,12866
Air India,International,Bangalore,Dubai,0,2023-01-06,Saturday,January,Evening,Late Night,4,First Class,177,15,Yes,0.8413225438605215,No,30375
Lufthansa,International,Delhi,Mumbai,2,2023-01-06,Saturday,January,Late Night,Morning,2,Economy,40,15,No,0.9674055923725596,No,7642
Air India,International,Chennai,Bangalore,0,2023-01-06,Saturday,January,Late Night,Night,0,Economy,241,30,No,1.0649626986979797,No,3386
SpiceJet,Domestic,Delhi,Chennai,0,2023-01-06,Saturday,January,Night,Morning,2,First Class,225,25,No,1.0672343078090611,No,14779
Lufthansa,International,London,Mumbai,1,2023-01-06,Saturday,January,Morning,Night,10,First Class,9,25,Yes,1.1044824927032981,Yes,231820
SpiceJet,International,Dubai,Bangalore,1,2023-01-07,Sunday,January,Afternoon,Night,4,Economy,252,30,No,1.0660862488129639,No,18377
IndiGo,International,Mumbai,Chennai,2,2023-01-07,Sunday,January,Morning,Evening,1,Economy,194,15,No,0.896232177956466,Yes,9610
Lufthansa,Domestic,Hyderabad,Chennai,0,2023-01-07,Sunday,January,Night,Evening,2,Business,201,30,No,0.8955772809730116,Yes,8887
SpiceJet,Domestic,Delhi,Chennai,0,2023-01-07,Sunday,January,Early Morning,Morning,2,First Class,50,30,No,1.15406267270604,No,21756
IndiGo,International,Chennai,Mumbai,2,2023-01-07,Sunday,January,Evening,Night,2,Business,175,30,No,1.133499178709499,Yes,14795
Vistara,International,Delhi,New York,1,2023-01-07,Sunday,January,Early Morning,Early Morning,15,Economy,110,15,Yes,0.8571959210621136,No,73519
Lufthansa,International,Hyderabad,Kolkata,1,2023-01-07,Sunday,January,Late Night,Early Morning,3,First Class,148,15,No,0.9742592093567553,Yes,22787
IndiGo,International,Chennai,Bangalore,0,2023-01-07,Sunday,January,Morning,Early Morning,1,Business,283,30,Yes,1.043895906933052,No,4005
Vistara,Domestic,New York,Delhi,2,2023-01-07,Sunday,January,Evening,Morning,14,Economy,37,25,Yes,1.025730775555362,Yes,105182
Qatar Airways,Domestic,Hyderabad,Chennai,1,2023-01-07,Sunday,January,Morning,Evening,2,Business,206,30,No,0.9066369793153253,No,6079
Air India,International,Delhi,Hyderabad,2,2023-01-07,Sunday,January,Early Morning,Afternoon,2,Economy,330,15,No,1.0909181670085522,No,9338
Vistara,Domestic,Mumbai,New York,0,2023-01-08,Monday,January,Night,Late Night,15,Business,226,15,Yes,0.8022690433318532,No,161954
Qatar Airways,International,Kolkata,Bangalore,2,2023-01-08,Monday,January,Night,Late Night,2,First Class,282,15,No,1.0578770699469155,Yes,29850
Air India,Domestic,Bangalore,Mumbai,1,2023-01-08,Monday,January,Late Night,Late Night,1,Economy,4,25,No,1.0103784769443245,No,6647
GoAir,International,Mumbai,London,0,2023-01-08,Monday,January,Morning,Night,9,First Class,104,25,Yes,0.9110196329239643,No,107336
Emirates,Domestic,Kolkata,Hyderabad,2,2023-01-08,Monday,January,Early Morning,Evening,3,Economy,330,15,No,0.8014405470581826,Yes,4564
Emirates,Domestic,Mumbai,Hyderabad,0,2023-01-08,Monday,January,Late Night,Early Morning,2,First Class,129,20,No,0.8233324686552844,No,11887
Vistara,Domestic,Bangalore,Chennai,2,2023-01-08,Monday,January,Evening,Late Night,0,Business,135,30,No,0.8045552450472413,No,6769
IndiGo,International,Dubai,Bangalore,1,2023-01-08,Monday,January,Late Night,Late Night,4,Business,102,30,No,0.9243819355298996,No,38679
SpiceJet,Domestic,Bangalore,Kolkata,1,2023-01-08,Monday,January,Afternoon,Night,2,Economy,23,20,No,0.8138310178644268,No,8476
GoAir,International,Chennai,Kolkata,1,2023-01-08,Monday,January,Evening,Night,2,Economy,119,30,No,0.9415762902239776,No,6549
Qatar Airways,Domestic,London,Mumbai,2,2023-01-08,Monday,January,Late Night,Afternoon,9,Economy,172,15,Yes,1.1062513575591937,No,83197
Vistara,International,Chennai,Mumbai,1,2023-01-09,Tuesday,January,Early Morning,Night,2,Business,100,25,No,1.0119938447460277,No,12893
Lufthansa,Domestic,Chennai,Delhi,1,2023-01-09,Tuesday,January,Early Morning,Afternoon,3,First Class,116,20,No,1.0283923669175976,No,19862
GoAir,Domestic,Delhi,Dubai,2,2023-01-09,Tuesday,January,Night,Night,3,Business,123,30,Yes,1.190305393045691,No,47877
GoAir,International,Hyderabad,Kolkata,2,2023-01-09,Tuesday,January,Night,Morning,2,Business,138,15,No,1.1364899186394872,Yes,9753
Qatar Airways,Domestic,Delhi,Chennai,1,2023-01-09,Tuesday,January,Late Night,Afternoon,2,First Class,134,20,No,0.9138094774602341,Yes,27752
Air India,International,Hyderabad,Chennai,0,2023-01-09,Tuesday,January,Night,Evening,1,Business,7,25,Yes,0.8604508094752186,No,3815
SpiceJet,Domestic,Kolkata,Chennai,0,2023-01-09,Tuesday,January,Night,Morning,3,Economy,44,25,No,1.0883473802408163,Yes,7126
SpiceJet,International,Dubai,Delhi,2,2023-01-09,Tuesday,January,Afternoon,Late Night,4,First Class,66,25,No,0.8458177102630831,No,38183
SpiceJet,Domestic,Bangalore,Chennai,0,2023-01-09,Tuesday,January,Early Morning,Morning,0,Business,176,15,No,0.8792565098765611,No,7112
Air India,International,Chennai,Bangalore,0,2023-01-09,Tuesday,January,Morning,Afternoon,1,First Class,299,25,No,0.9467160587332869,No,10807
GoAir,Domestic,Mumbai,Chennai,0,2023-01-09,Tuesday,January,Night,Late Night,1,Business,330,15,No,1.0840573057757608,Yes,9986
Lufthansa,Domestic,New York,Delhi,1,2023-01-10,Wednesday,January,Morning,Morning,15,First Class,47,15,Yes,1.1940895660101076,No,350565
Vistara,International,Delhi,Hyderabad,0,2023-01-10,Wednesday,January,Early Morning,Early Morning,3,First Class,92,15,Yes,1.1695339480613312,No,17033
SpiceJet,Domestic,Delhi,Bangalore,1,2023-01-10,Wednesday,January,Night,Afternoon,2,Economy,263,25,No,1.1045376421719508,Yes,7750
SpiceJet,International,Hyderabad,Mumbai,2,2023-01-10,Wednesday,January,Evening,Afternoon,2,Economy,278,30,No,0.8008635004155669,No,3001
SpiceJet,Domestic,Bangalore,Kolkata,1,2023-01-10,Wednesday,January,Late Night,Night,2,First Class,238,20,Yes,0.8346590945222503,Yes,18057
Emirates,Domestic,Kolkata,Delhi,2,2023-01-10,Wednesday,January,Night,Morning,3,First Class,102,20,No,1.1333123441016366,No,10707
IndiGo,International,Delhi,London,0,2023-01-10,Wednesday,January,Evening,Afternoon,10,Economy,293,30,Yes,1.0285323885145399,No,69083
Air India,International,Chennai,Kolkata,2,2023-01-10,Wednesday,January,Evening,Late Night,3,First Class,14,20,Yes,1.173616393496082,No,17360
Emirates,International,Mumbai,Chennai,1,2023-01-10,Wednesday,January,Late Night,Late Night,2,First Class,113,20,Yes,0.8327354241996898,No,6323
Vistara,International,Mumbai,London,1,2023-01-10,Wednesday,January,Night,Afternoon,8,Economy,108,25,Yes,0.842897062664525,Yes,47460
Vistara,International,Mumbai,Hyderabad,2,2023-01-10,Wednesday,January,Afternoon,Evening,1,Business,316,30,No,0.8501172073724418,Yes,6315
Qatar Airways,Domestic,Mumbai,Chennai,2,2023-01-10,Wednesday,January,Evening,Early Morning,2,Business,330,25,No,1.0471512944032069,Yes,16466
GoAir,International,Chennai,Bangalore,0,2023-01-10,Wednesday,January,Early Morning,Afternoon,1,First Class,130,30,No,1.1234028367337392,Yes,7892
Emirates,Domestic,Mumbai,Bangalore,2,2023-01-11,Thursday,January,Evening,Evening,1,Business,296,20,Yes,0.9204193730128309,No,9189
Qatar Airways,International,Bangalore,Chennai,0,2023-01-11,Thursday,January,Evening,Early Morning,0,Economy,193,30,No,0.9047338456565348,Yes,4871
Lufthansa,Domestic,Bangalore,Dubai,1,2023-01-11,Thursday,January,Late Night,Evening,3,Economy,150,25,Yes,1.1682376053956947,Yes,23940
IndiGo,Domestic,Hyderabad,Mumbai,1,2023-01-11,Thursday,January,Afternoon,Evening,2,Business,142,15,No,1.113090338289741,No,5261
Emirates,Domestic,Kolkata,Mumbai,1,2023-01-11,Thursday,January,Evening,Morning,2,Business,179,20,No,1.1272365573577843,No,17414
IndiGo,International,Bangalore,Kolkata,0,2023-01-11,Thursday,January,Late Night,Afternoon,2,First Class,223,30,No,0.9642795160763047,No,14088
Vistara,Domestic,Kolkata,Delhi,0,2023-01-11,Thursday,January,Night,Afternoon,3,Economy,15,25,No,1.0510477575314308,Yes,6734
GoAir,Domestic,Bangalore,Mumbai,2,2023-01-11,Thursday,January,Early Morning,Morning,1,First Class,265,20,No,0.8286287225091039,Yes,13398
Vistara,International,Kolkata,Delhi,0,2023-01-11,Thursday,January,Morning,Afternoon,2,Economy,68,20,No,1.1182464444892402,No,8837
Vistara,International,Chennai,Delhi,0,2023-01-11,Thursday,January,Evening,Late Night,3,First Class,219,25,Yes,0.8407879360332069,No,13718
Air India,International,Mumbai,Delhi,0,2023-01-11,Thursday,January,Night,Afternoon,2,Economy,330,30,No,0.9290092239188548,No,4667
IndiGo,Domestic,Mumbai,New York,0,2023-01-11,Thursday,January,Afternoon,Late Night,17,First Class,231,15,Yes,1.148327899985602,Yes,444745
IndiGo,International,Delhi,Bangalore,1,2023-01-11,Thursday,January,Morning,Morning,2,First Class,258,15,No,1.0388211113486339,Yes,29240
Emirates,International,Mumbai,Hyderabad,0,2023-01-11,Thursday,January,Night,Early Morning,2,Economy,322,30,No,0.8134889956329866,Yes,5040
Qatar Airways,International,Mumbai,Kolkata,0,2023-01-11,Thursday,January,Night,Early Morning,2,Business,253,25,Yes,0.9156297250231695,Yes,16820
SpiceJet,Domestic,Mumbai,Dubai,2,2023-01-11,Thursday,January,Morning,Early Morning,3,First Class,242,20,Yes,0.810565151461373,No,28316
Qatar Airways,Domestic,Bangalore,Hyderabad,0,2023-01-11,Thursday,January,Evening,Evening,2,Business,66,25,No,0.8558349933370482,No,6141
IndiGo,International,Bangalore,Dubai,1,2023-01-11,Thursday,January,Late Night,Afternoon,3,First Class,302,20,Yes,1.1158819637792945,No,30305
IndiGo,Domestic,Kolkata,Hyderabad,0,2023-01-12,Friday,January,Evening,Morning,3,First Class,133,30,No,1.0455241163238915,Yes,18495
Vistara,Domestic,Kolkata,Hyderabad,1,2023-01-12,Friday,January,Late Night,Late Night,3,Economy,149,15,No,1.1689960890283986,No,5204
IndiGo,International,Bangalore,Delhi,1,2023-01-12,Friday,January,Night,Afternoon,2,Business,23,15,No,0.8977872159294257,Yes,16664
Emirates,International,Mumbai,Hyderabad,0,2023-01-12,Friday,January,Late Night,Late Night,1,First Class,151,30,No,1.167075458543863,Yes,19984
IndiGo,Domestic,Delhi,Chennai,0,2023-01-12,Friday,January,Early Morning,Afternoon,3,First Class,20,20,No,1.1442611723144487,Yes,28608
Lufthansa,International,Hyderabad,Mumbai,1,2023-01-12,Friday,January,Evening,Early Morning,2,Economy,181,20,No,0.8336844174743159,Yes,4412
Lufthansa,Domestic,Bangalore,Delhi,1,2023-01-12,Friday,January,Late Night,Night,3,Business,109,25,No,0.9343121260701905,No,13690
Emirates,Domestic,Mumbai,New York,2,2023-01-12,Friday,January,Afternoon,Night,17,Economy,50,20,Yes,1.0026472995934488,Yes,112331
Qatar Airways,Domestic,Delhi,Dubai,2,2023-01-12,Friday,January,Night,Night,3,Business,170,30,Yes,1.0483445584432398,Yes,54158
Vistara,International,Bangalore,Hyderabad,2,2023-01-12,Friday,January,Afternoon,Evening,2,Economy,215,20,No,1.100865226179299,No,5479
IndiGo,International,Delhi,Bangalore,2,2023-01-12,Friday,January,Evening,Night,2,Economy,67,15,No,1.0006078842757766,Yes,14116
Air India,Domestic,Delhi,Dubai,1,2023-01-13,Saturday,January,Early Morning,Late Night,4,First Class,234,25,Yes,0.9714611141252825,No,38087
Qatar Airways,International,Delhi,Mumbai,2,2023-01-13,Saturday,January,Morning,Night,3,Business,311,30,Yes,1.1478290802341027,Yes,9221
Lufthansa,Domestic,Dubai,Delhi,1,2023-01-13,Saturday,January,Early Morning,Afternoon,4,First Class,81,25,Yes,0.828851027375924,No,44502
Emirates,Domestic,Bangalore,Hyderabad,2,2023-01-13,Saturday,January,Late Night,Evening,2,First Class,325,25,No,0.8272990383203616,No,7806
Lufthansa,Domestic,Mumbai,Kolkata,2,2023-01-13,Saturday,January,Evening,Night,2,Business,277,20,No,1.0259815178624572,Yes,18532
Air India,International,Mumbai,Chennai,1,2023-01-13,Saturday,January,Night,Afternoon,2,Economy,49,30,No,1.1521745774056722,No,8059
Vistara,Domestic,New York,Mumbai,1,2023-01-13,Saturday,January,Morning,Afternoon,17,Economy,208,25,Yes,0.8580761873284173,No,121258
Vistara,Domestic,Dubai,Bangalore,1,2023-01-13,Saturday,January,Late Night,Early Morning,4,Economy,182,30,No,0.9557185867021248,No,26820
IndiGo,International,Mumbai,Hyderabad,2,2023-01-13,Saturday,January,Early Morning,Late Night,2,Business,76,30,No,0.9777785132506223,Yes,6745
IndiGo,International,Bangalore,Dubai,2,2023-01-13,Saturday,January,Night,Afternoon,3,First Class,58,25,Yes,0.8216675231984506,Yes,38355
Lufthansa,International,Mumbai,Bangalore,1,2023-01-13,Saturday,January,Early Morning,Late Night,1,First Class,301,25,No,1.1841829655596823,Yes,22374
Air India,Domestic,Chennai,Kolkata,0,2023-01-13,Saturday,January,Afternoon,Morning,2,Economy,67,20,No,0.8363238822640088,No,3476
Emirates,Domestic,Mumbai,Delhi,0,2023-01-13,Saturday,January,Night,Night,3,First Class,255,25,No,1.0011852253482085,No,18682
Lufthansa,Domestic,Mumbai,Bangalore,2,2023-01-14,Sunday,January,Evening,Evening,1,Economy,266,25,No,1.1856762181173965,No,3757
Vistara,International,Mumbai,London,0,2023-01-14,Sunday,January,Morning,Night,9,Business,58,25,Yes,1.1604893580927529,Yes,162172
SpiceJet,International,Bangalore,Delhi,2,2023-01-14,Sunday,January,Late Night,Early Morning,3,First Class,219,30,Yes,1.0289888523616346,Yes,17451
IndiGo,International,Mumbai,Chennai,0,2023-01-14,Sunday,January,Early Morning,Evening,2,First Class,197,30,No,1.0012607596649206,Yes,22463
IndiGo,International,Delhi,Chennai,0,2023-01-14,Sunday,January,Afternoon,Afternoon,3,Economy,175,15,Yes,1.0666018018417538,No,12593
Vistara,International,Chennai,Kolkata,2,2023-01-14,Sunday,January,Evening,Late Night,3,Business,160,30,No,0.9713316164086756,Yes,12944
Qatar Airways,International,Bangalore,Mumbai,0,2023-01-14,Sunday,January,Early Morning,Evening,2,First Class,16,15,No,0.84358438920184,No,10629
Air India,Domestic,Chennai,Hyderabad,1,2023-01-14,Sunday,January,Afternoon,Afternoon,2,First Class,62,30,No,0.9713139414481916,Yes,16531
SpiceJet,Domestic,Mumbai,Bangalore,2,2023-01-14,Sunday,January,Late Night,Morning,1,First Class,66,20,No,0.8601316157375747,No,5343
GoAir,Domestic,Dubai,Bangalore,1,2023-01-14,Sunday,January,Evening,Early Morning,4,Economy,222,25,Yes,1.153364791532784,No,29560
Emirates,Domestic,London,Delhi,2,2023-01-14,Sunday,January,Afternoon,Afternoon,8,First Class,330,15,Yes,1.1468744227862453,No,151080
Qatar Airways,Domestic,Bangalore,Dubai,2,2023-01-14,Sunday,January,Evening,Afternoon,3,Business,305,20,No,1.1130631565097975,No,36993
Vistara,International,Bangalore,Kolkata,2,2023-01-14,Sunday,January,Morning,Late Night,2,Business,330,25,Yes,0.829960881386102,Yes,13656
Emirates,International,Hyderabad,Kolkata,1,2023-01-14,Sunday,January,Morning,Night,3,Business,121,30,Yes,1.0640130898045865,Yes,19300
Vistara,Domestic,Kolkata,Hyderabad,1,2023-01-15,Monday,January,Afternoon,Afternoon,3,Business,330,25,No,0.806584156538682,Yes,14076
IndiGo,Domestic,London,Delhi,1,2023-01-15,Monday,January,Early Morning,Morning,9,First Class,239,25,Yes,1.0207840109719337,No,135184
Lufthansa,International,Delhi,Bangalore,0,2023-01-15,Monday,January,Night,Morning,2,Economy,48,20,No,0.9789808119794163,Yes,11443
Lufthansa,Domestic,Delhi,London,0,2023-01-15,Monday,January,Late Night,Morning,8,Economy,273,20,Yes,1.1687680233287208,No,48128
Lufthansa,Domestic,Dubai,Mumbai,1,2023-01-15,Monday,January,Afternoon,Late Night,4,Business,320,25,Yes,1.0077579119859836,No,32158
IndiGo,Domestic,Hyderabad,Mumbai,2,2023-01-15,Monday,January,Night,Evening,2,Economy,5,15,No,1.1061134349219301,No,3826
Lufthansa,International,Mumbai,London,2,2023-01-15,Monday,January,Morning,Late Night,8,Business,85,25,Yes,1.0238877079645403,No,100968
Vistara,International,Chennai,Bangalore,0,2023-01-15,Monday,January,Early Morning,Afternoon,1,Economy,277,20,No,0.9909609660261314,No,5594
Vistara,International,Mumbai,Hyderabad,0,2023-01-15,Monday,January,Night,Night,2,First Class,299,20,No,1.1825710689661606,No,11962
Air India,Domestic,Mumbai,Kolkata,1,2023-01-15,Monday,January,Evening,Late Night,3,Economy,187,15,No,0.9196619113022869,No,9810
SpiceJet,International,Mumbai,New York,1,2023-01-15,Monday,January,Evening,Late Night,15,First Class,27,25,Yes,1.0987082003929363,No,251674
Vistara,Domestic,Chennai,Hyderabad,2,2023-01-15,Monday,January,Early Morning,Late Night,1,Business,173,30,No,0.8317662168764273,No,5216
SpiceJet,International,Delhi,Dubai,1,2023-01-15,Monday,January,Morning,Afternoon,3,Economy,61,20,No,1.0542571600222268,Yes,31117
Qatar Airways,Domestic,Mumbai,Dubai,1,2023-01-15,Monday,January,Night,Early Morning,4,First Class,47,20,No,0.8191242084587529,No,35527
GoAir,International,Bangalore,Mumbai,2,2023-01-16,Tuesday,January,Evening,Morning,2,Economy,314,25,No,0.8615378958124954,Yes,8330
Emirates,International,Dubai,Delhi,1,2023-01-16,Tuesday,January,Early Morning,Late Night,3,First Class,289,30,Yes,0.9663840253998878,Yes,73523
IndiGo,International,New York,Mumbai,0,2023-01-16,Tuesday,January,Morning,Night,15,Economy,253,20,Yes,0.9793323865024463,Yes,140845
Lufthansa,International,New York,Delhi,0,2023-01-16,Tuesday,January,Afternoon,Morning,16,First Class,43,20,Yes,0.8957118527923439,No,184059
